ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2852,15,2009-07-29,21:50,Santo Andre,Corinthians,,,,,-,Teixeirão,1,1,SP,SP,17.219,Cléber Wellington Abade,0,1,Quarta-feira
2853,15,2009-07-29,21:50,Palmeiras,Fluminense,,,,,Palmeiras,Palestra Itália,1,0,SP,RJ,16.301,Ricardo Marques Ribeiro,0,0,Quarta-feira
2854,15,2009-07-30,21:00,Avai,Vitoria,,,,,Avai,  Ressacada,4,0,SC,BA,12.546,Sandro Meira Ricci,1,1,Quinta-feira
2855,15,2009-07-30,21:00,Flamengo,Atletico-MG,,,,,Flamengo, Maracanã,3,1,RJ,MG,26.934,Leonardo Gaciba,0,0,Quinta-feira
2856,15,2009-07-30,21:00,Sao Paulo,Gremio,,,,,Sao Paulo, Morumbi,2,1,SP,RS,13.223,Heber Roberto Lopes,0,0,Quinta-feira
2857,16,2009-08-01,18:30,Sport,Palmeiras,,,,,Palmeiras,Ilha do Retiro,0,1,PE,SP,16.921,Péricles Bassols Cortez,1,0,Sábado
2858,16,2009-08-01,18:30,Botafogo-RJ,Barueri,,,,,Botafogo-RJ,Engenhão,2,1,RJ,SP,12.432,Arilson Bispo da Anunciação,0,0,Sábado
2859,16,2009-08-02,16:00,Flamengo,Nautico,,,,,-, Maracanã,1,1,RJ,PE,41.772,Sandro Meira Ricci,0,1,Domingo
2860,16,2009-08-02,16:00,Corinthians,Avai,,,,,-, Pacaembu,0,0,SP,SC,13.686,Ricardo Marques Ribeiro,0,0,Domingo
2861,16,2009-08-02,16:00,Vitoria,Sao Paulo,,,,,Sao Paulo, Barradão,0,1,BA,SP,19.100,Francisco Carlos Nascimento,0,0,Domingo
2862,16,2009-08-02,16:00,Athletico-PR,Fluminense,,,,,Athletico-PR,  Estádio do Café,1,0,PR,RJ,3.015,Carlos Eugenio Simon,1,0,Domingo
2865,16,2009-08-02,16:00,Atletico-MG,Coritiba,,,,,Atletico-MG, Mineirão,3,2,MG,PR,26.179,Felipe Gomes da Silva,0,0,Domingo
2863,16,2009-08-02,18:30,Santo Andre,Goias,,,,,Goias, Anacleto Campanella,1,2,SP,GO,847,Wagner Tardelli,0,0,Domingo
2864,16,2009-08-02,18:30,Gremio,Cruzeiro,,,,,Gremio, Olímpico,4,1,RS,MG,13.306,Evandro Roman,0,2,Domingo
2867,17,2009-08-05,19:30,Cruzeiro,Athletico-PR,,,,,Athletico-PR, Mineirão,0,2,MG,PR,15.484,Sálvio Spínola Fagundes Filho,2,1,Quarta-feira
2868,17,2009-08-05,21:00,Avai,Santo Andre,,,,,Avai,  Ressacada,1,0,SC,SP,8.364,André Luiz de Castro,0,0,Quarta-feira
2869,17,2009-08-05,21:00,Sao Paulo,Botafogo-RJ,,,,,Sao Paulo, Morumbi,3,1,SP,RJ,19.182,Elmo Resende Cunha,0,0,Quarta-feira
2870,17,2009-08-05,21:50,Nautico,Corinthians,,,,,Nautico,Aflitos,1,0,PE,SP,15.041,Arilson Bispo da Anunciação,0,0,Quarta-feira
2871,17,2009-08-05,21:50,Coritiba,Santos,,,,,Santos,  Olímpico Regional,0,1,PR,SP,17.250,Sandro Meira Ricci,0,1,Quarta-feira
2872,17,2009-08-05,21:50,Goias,Flamengo,,,,,Goias, Serra Dourada,3,2,GO,RJ,37.320,Heber Roberto Lopes,0,0,Quarta-feira
2873,17,2009-08-06,21:00,Palmeiras,Gremio,,,,,-,Palestra Itália,1,1,SP,RS,25.440,Nielson Nogueira Dias,0,0,Quinta-feira
2874,17,2009-08-06,21:00,Fluminense,Sport,,,,,Fluminense, Maracanã,5,1,RJ,PE,11.086,Wilton Pereira Sampaio,0,0,Quinta-feira
2875,17,2009-08-06,21:00,Barueri,Vitoria,,,,,Barueri,Arena Barueri,4,0,SP,BA,2.180,Pablo dos Santos Alves,0,0,Quinta-feira
2877,18,2009-08-08,18:30,Santos,Avai,,,,,-, Vila Belmiro,2,2,SP,SC,12.074,Wallace Nascimento Valente,0,0,Sábado
2878,18,2009-08-08,18:30,Nautico,Santo Andre,,,,,Nautico,Luiz Lacerda,2,1,PE,SP,3.434,Wagner Reway,1,0,Sábado
2879,18,2009-08-08,18:30,Botafogo-RJ,Athletico-PR,,,,,Athletico-PR,Engenhão,0,1,RJ,PR,11.454,Francisco de Almeida Filho,0,0,Sábado
2880,18,2009-08-09,16:00,Flamengo,Corinthians,,,,,Flamengo, Maracanã,1,0,RJ,SP,47.068,Evandro Roman,0,0,Domingo
